r,e,y,AnnualEmissions
"Greece","CO2",2019,18.6062040234733
"Greece","CO2",2020,15.6398599474284
"Greece","CO2",2021,20.481127969574
"Greece","CO2",2022,22.4684901087768
"Greece","CO2",2023,14.310074483547
"Greece","CO2",2024,9.90964419865759
"Greece","CO2",2025,8.30379415800393
"Greece","CO2",2026,7.3968554712509
"Greece","CO2",2027,6.49543978449786
"Greece","CO2",2028,5.53721609774481
"Greece","CO2",2029,4.78720138872846
"Greece","CO2",2030,3.99563462338059
"Greece","CO2",2031,2.84275995237308
"Greece","CO2",2032,1.9839433014087
"Greece","CO2",2033,1.16746594081209
"Greece","CO2",2034,0.582128279626592
"Greece","CO2",2035,0
"Greece","CO2",2036,0
"Greece","CO2",2037,0
"Greece","CO2",2038,0
"Greece","CO2",2039,0
"Greece","CO2",2040,0
"Greece","CO2",2041,0
"Greece","CO2",2042,0
"Greece","CO2",2043,0
"Greece","CO2",2044,0
"Greece","CO2",2045,0
"Greece","CO2",2046,0
"Greece","CO2",2047,0
"Greece","CO2",2048,0
"Greece","CO2",2049,0
"Greece","CO2",2050,0
"Greece","RETarget",2019,0
"Greece","RETarget",2020,0
"Greece","RETarget",2021,0
"Greece","RETarget",2022,0
"Greece","RETarget",2023,0
"Greece","RETarget",2024,0
"Greece","RETarget",2025,0
"Greece","RETarget",2026,0
"Greece","RETarget",2027,0
"Greece","RETarget",2028,0
"Greece","RETarget",2029,0
"Greece","RETarget",2030,0
"Greece","RETarget",2031,0
"Greece","RETarget",2032,0
"Greece","RETarget",2033,0
"Greece","RETarget",2034,0
"Greece","RETarget",2035,0
"Greece","RETarget",2036,0
"Greece","RETarget",2037,0
"Greece","RETarget",2038,0
"Greece","RETarget",2039,0
"Greece","RETarget",2040,0
"Greece","RETarget",2041,0
"Greece","RETarget",2042,0
"Greece","RETarget",2043,0
"Greece","RETarget",2044,0
"Greece","RETarget",2045,0
"Greece","RETarget",2046,0
"Greece","RETarget",2047,0
"Greece","RETarget",2048,0
"Greece","RETarget",2049,0
"Greece","RETarget",2050,0
"Greece","MAR",2019,0
"Greece","MAR",2020,0
"Greece","MAR",2021,0
"Greece","MAR",2022,0
"Greece","MAR",2023,0
"Greece","MAR",2024,0
"Greece","MAR",2025,0
"Greece","MAR",2026,0
"Greece","MAR",2027,0
"Greece","MAR",2028,0
"Greece","MAR",2029,0
"Greece","MAR",2030,0
"Greece","MAR",2031,0
"Greece","MAR",2032,0
"Greece","MAR",2033,0
"Greece","MAR",2034,0
"Greece","MAR",2035,0
"Greece","MAR",2036,0
"Greece","MAR",2037,0
"Greece","MAR",2038,0
"Greece","MAR",2039,0
"Greece","MAR",2040,0
"Greece","MAR",2041,0
"Greece","MAR",2042,0
"Greece","MAR",2043,0
"Greece","MAR",2044,0
"Greece","MAR",2045,0
"Greece","MAR",2046,0
"Greece","MAR",2047,0
"Greece","MAR",2048,0
"Greece","MAR",2049,0
"Greece","MAR",2050,0
